Date,Price,Open,High,Low,Vol.,Change %
6/1/2017,10.93,11.25,11.28,10.81,48.00M,-2.32%
6/2/2017,10.9,10.93,10.96,10.56,43.06M,-0.27%
6/5/2017,11.24,10.84,11.34,10.8,66.21M,3.12%
6/6/2017,12.03,11.27,12.24,11.24,115.00M,7.03%
6/7/2017,12.38,12.42,12.96,12.23,151.01M,2.91%
6/8/2017,12.9,12.81,12.91,12.4,89.52M,4.20%
6/9/2017,12.28,13.1,13.4,11.63,167.45M,-4.81%
6/12/2017,12.09,11.75,12.35,11.27,125.78M,-1.55%
6/13/2017,11.96,12.33,12.48,11.67,87.30M,-1.08%
6/14/2017,11.77,11.91,12.05,11.65,51.91M,-1.59%
6/15/2017,11.5,11.34,11.58,11.21,61.67M,-2.29%
6/16/2017,11.44,11.66,11.83,11.28,59.78M,-0.52%
6/19/2017,11.93,11.63,12.12,11.62,61.80M,4.28%
6/20/2017,12.64,12.19,12.93,12.18,118.00M,5.95%
6/21/2017,13.98,13.36,14.01,13.13,188.80M,10.60%
6/22/2017,14.38,14.1,14.5,13.56,149.59M,2.86%
6/23/2017,14.17,14.15,14.67,13.9,200.78M,-1.46%
6/26/2017,14.08,14.39,14.49,13.84,101.01M,-0.64%
6/27/2017,13.4,13.76,14.04,13.37,89.32M,-4.83%
6/28/2017,13.23,13.65,13.7,13.09,85.27M,-1.27%
6/29/2017,12.6,13.06,13.15,12.45,87.63M,-4.76%
6/30/2017,12.48,12.57,12.83,12.36,59.27M,-0.95%
7/3/2017,12.15,12.57,12.73,12.13,39.93M,-2.64%
7/5/2017,13.19,12.36,13.21,12.32,99.45M,8.56%
7/6/2017,13.02,12.94,13.32,12.66,88.93M,-1.29%
7/7/2017,13.36,13.27,13.74,13.18,88.39M,2.61%
7/10/2017,13.81,13.61,13.88,13.27,78.32M,3.37%
7/11/2017,13.89,13.77,14.1,13.62,71.10M,0.58%
7/12/2017,14.29,14.17,14.39,13.96,78.51M,2.88%
7/13/2017,13.53,14.33,14.49,13.43,111.66M,-5.32%
7/14/2017,13.92,13.46,13.93,13.32,82.08M,2.88%
7/17/2017,13.8,14.03,14.12,13.51,71.69M,-0.86%
7/18/2017,13.48,13.29,13.53,13.15,78.37M,-2.32%
7/19/2017,13.55,13.62,13.74,13.41,51.96M,0.52%
7/20/2017,13.8,13.61,13.89,13.45,47.71M,1.85%
7/21/2017,13.88,13.7,14.05,13.62,51.05M,0.58%
7/24/2017,14.16,14,14.44,13.97,71.01M,2.02%
7/25/2017,14.11,14.29,14.32,13.87,98.05M,-0.35%
7/26/2017,14.76,15.13,15.65,14.4,236.08M,4.61%
7/27/2017,14.12,14.99,15.04,13.7,130.30M,-4.34%
7/28/2017,13.95,13.85,14.1,13.68,66.76M,-1.20%
7/31/2017,13.61,14.09,14.22,13.47,69.11M,-2.44%
8/1/2017,13.71,13.72,13.86,13.45,49.15M,0.73%
8/2/2017,13.37,13.81,13.93,13.12,67.50M,-2.48%
8/3/2017,13.24,13.42,13.52,13.08,52.56M,-0.97%
8/4/2017,13.12,13.2,13.36,13.02,64.25M,-0.91%
8/7/2017,13.43,13.33,13.57,13.27,57.49M,2.36%
8/8/2017,13.11,13.48,13.55,13.08,47.34M,-2.38%
8/9/2017,12.83,12.76,12.89,12.54,58.86M,-2.14%
8/10/2017,12.12,12.7,12.92,12.11,83.11M,-5.53%
8/11/2017,12.23,12.04,12.39,11.88,63.56M,0.91%
8/14/2017,12.76,12.58,12.85,12.58,64.43M,4.33%
8/15/2017,13.02,13.01,13.14,12.75,57.99M,2.04%
8/16/2017,12.63,13.17,13.19,12.52,64.64M,-3.00%
8/17/2017,12.34,12.46,12.65,12.32,47.37M,-2.30%
8/18/2017,12.37,12.43,12.56,12.25,37.52M,0.24%
8/21/2017,12.05,12.42,12.42,11.86,58.89M,-2.59%
8/22/2017,12.17,12.2,12.33,12.1,39.03M,1.00%
8/23/2017,12.48,12,12.53,11.95,44.35M,2.55%
8/24/2017,12.5,12.69,12.71,12.39,37.27M,0.16%
8/25/2017,12.43,12.51,12.57,12.25,29.73M,-0.56%
8/28/2017,12.23,12.53,12.55,12.16,35.97M,-1.61%
8/29/2017,12.15,12,12.18,11.93,33.62M,-0.65%
8/30/2017,12.67,12.19,12.68,12.16,43.93M,4.28%
8/31/2017,13,12.82,13.16,12.79,51.82M,2.60%
9/1/2017,13.19,13.12,13.48,13.04,53.16M,1.46%
9/5/2017,12.92,12.88,13.18,12.65,51.58M,-2.05%
9/6/2017,12.86,13.02,13.08,12.75,34.18M,-0.46%
9/7/2017,12.63,12.84,12.94,12.6,35.82M,-1.79%
9/8/2017,12.25,12.57,12.61,12.03,60.89M,-3.01%
9/11/2017,12.55,12.46,12.74,12.4,43.35M,2.45%
9/12/2017,12.3,12.66,12.68,12.21,54.41M,-1.99%
9/13/2017,12.22,12.22,12.36,12.12,37.21M,-0.65%
9/14/2017,12.26,12.15,12.46,12.11,37.22M,0.33%
9/15/2017,12.52,12.33,12.66,12.31,50.34M,2.12%
9/18/2017,13.08,12.77,13.3,12.74,83.52M,4.47%
9/19/2017,13.12,13.25,13.29,12.88,65.46M,0.31%
9/20/2017,13.74,13.07,13.8,12.8,102.68M,4.73%
9/21/2017,13.41,14,14.24,13.32,166.82M,-2.40%
9/22/2017,13.3,13.2,13.4,13.12,50.55M,-0.82%
9/25/2017,12.61,13.25,13.28,12.49,84.17M,-5.19%
9/26/2017,12.45,12.85,12.93,12.43,68.30M,-1.27%
9/27/2017,12.74,12.65,12.87,12.5,59.95M,2.33%
9/28/2017,12.74,12.76,12.84,12.55,35.81M,0.00%
9/29/2017,12.75,12.77,12.82,12.6,33.93M,0.08%
10/2/2017,12.71,12.8,12.85,12.62,34.46M,-0.31%
10/3/2017,13.42,12.73,13.48,12.7,85.17M,5.59%
10/4/2017,13.31,13.31,13.5,13.15,42.30M,-0.82%
10/5/2017,13.34,13.38,13.46,13.21,34.76M,0.23%
10/6/2017,13.23,13.22,13.39,13.18,28.26M,-0.82%
10/9/2017,13.47,13.26,13.83,13.26,54.03M,1.81%
10/10/2017,13.7,13.72,13.79,13.44,43.30M,1.71%
10/11/2017,13.88,13.62,13.96,13.61,38.75M,1.31%
10/12/2017,14.2,13.85,14.37,13.81,69.87M,2.31%
10/13/2017,14.22,14.32,14.41,14.12,37.52M,0.14%
10/16/2017,14.26,14.25,14.35,14.12,34.14M,0.28%
10/17/2017,14.16,14.24,14.35,14.14,29.00M,-0.70%
10/18/2017,14.07,14.2,14.28,13.76,39.02M,-0.64%
10/19/2017,13.95,13.85,14.04,13.69,33.80M,-0.85%
10/20/2017,13.81,14.03,14.09,13.8,32.54M,-1.00%
10/23/2017,14.1,13.94,14.19,13.9,49.84M,2.10%
10/24/2017,14.25,14.2,14.36,14.15,84.89M,1.06%
10/25/2017,12.33,12.95,13.13,12.29,166.76M,-13.47%
10/26/2017,12.01,12.45,12.46,12,87.63M,-2.64%
10/27/2017,11.84,12.17,12.19,11.35,115.65M,-1.37%
10/30/2017,10.89,11.26,11.42,10.65,137.79M,-8.02%
10/31/2017,10.98,10.76,11.31,10.69,78.60M,0.87%
11/1/2017,10.8,11.25,11.29,10.72,66.88M,-1.68%
11/2/2017,10.85,10.87,10.99,10.66,47.94M,0.46%
11/3/2017,11.12,10.95,11.13,10.82,44.26M,2.49%
11/6/2017,11.93,12.04,12.09,11.64,96.35M,7.28%
11/7/2017,12.05,11.94,12.27,11.92,67.90M,1.01%
11/8/2017,11.71,11.94,11.95,11.51,59.07M,-2.82%
11/9/2017,11.12,11.25,11.35,11.03,76.82M,-5.04%
11/10/2017,11.26,11.22,11.43,11.11,50.21M,1.26%
11/13/2017,11.09,11.18,11.2,10.92,54.07M,-1.51%
11/14/2017,11.12,11.03,11.26,11,37.25M,0.27%
11/15/2017,11.07,11.01,11.13,10.77,33.52M,-0.45%
11/16/2017,11.25,11.13,11.32,11.13,31.80M,1.63%
11/17/2017,11.38,11.3,11.75,11.28,56.78M,1.16%
11/20/2017,11.34,11.47,11.51,11.19,35.96M,-0.35%
11/21/2017,11.4,11.42,11.49,11.24,31.88M,0.53%
11/22/2017,11.37,11.41,11.49,11.3,23.82M,-0.26%
11/24/2017,11.38,11.38,11.42,11.3,11.04M,0.09%
11/27/2017,11.55,11.34,11.74,11.34,41.80M,1.49%
11/28/2017,11.17,11.45,11.54,11,65.33M,-3.29%
11/29/2017,10.83,11.08,11.17,10.73,63.33M,-3.04%
11/30/2017,10.89,10.87,11.03,10.76,43.21M,0.55%
12/1/2017,10.73,10.81,10.97,10.53,42.13M,-1.47%
12/4/2017,10.03,10.85,10.86,9.82,97.33M,-6.52%
12/5/2017,9.91,9.89,10.34,9.7,67.30M,-1.20%
12/6/2017,10,9.9,10.05,9.71,38.95M,0.91%
12/7/2017,10.04,10.07,10.19,9.95,32.67M,0.40%
12/8/2017,9.94,10.15,10.2,9.92,34.90M,-1.00%
12/11/2017,10.16,9.97,10.16,9.96,29.96M,2.21%
12/12/2017,9.9,10.13,10.14,9.88,36.21M,-2.56%
12/13/2017,10.11,9.97,10.21,9.95,41.49M,2.12%
12/14/2017,10.13,10.1,10.17,9.96,29.01M,0.20%
12/15/2017,10.29,10.13,10.32,10.02,45.46M,1.58%
12/18/2017,10.98,10.6,11,10.51,63.80M,6.71%
12/19/2017,10.95,11,11.19,10.87,43.85M,-0.27%
12/20/2017,10.98,11.1,11.18,10.8,31.42M,0.27%
12/21/2017,10.89,10.98,11.08,10.87,21.88M,-0.82%
12/22/2017,10.54,10.75,10.77,10.2,50.74M,-3.21%
12/26/2017,10.46,10.38,10.58,10.34,20.44M,-0.76%
12/27/2017,10.53,10.45,10.74,10.4,22.92M,0.67%
12/28/2017,10.55,10.57,10.64,10.43,18.61M,0.19%
12/29/2017,10.28,10.57,10.58,10.27,26.68M,-2.56%
1/2/2018,10.98,10.42,11.02,10.34,44.15M,6.81%
1/3/2018,11.55,11.61,12.14,11.36,154.07M,5.19%
1/4/2018,12.12,12.1,12.43,11.97,109.50M,4.94%
1/5/2018,11.88,12.19,12.22,11.66,63.81M,-1.98%
1/8/2018,12.28,12.01,12.3,11.85,63.35M,3.37%
1/9/2018,11.82,12,12.02,11.71,62.56M,-3.75%
1/10/2018,11.96,11.63,12.15,11.56,52.56M,1.18%
1/11/2018,12.14,12.07,12.19,11.9,38.35M,1.51%
1/12/2018,12.02,11.82,12.07,11.8,47.15M,-0.99%
1/16/2018,11.91,12.05,12.2,11.8,42.69M,-0.92%
1/17/2018,12.18,11.9,12.19,11.82,39.02M,2.27%
1/18/2018,12.47,12.18,12.68,12.15,62.09M,2.38%
1/19/2018,12.59,12.56,12.88,12.54,46.80M,0.96%
1/22/2018,12.65,12.61,12.74,12.37,34.76M,0.48%
1/23/2018,12.94,12.82,12.99,12.76,46.42M,2.29%
1/24/2018,12.71,13.02,13.05,12.6,41.96M,-1.78%
1/25/2018,12.41,12.78,12.94,12.32,42.97M,-2.36%
1/26/2018,12.95,12.7,12.95,12.62,44.24M,4.35%
1/29/2018,13.32,13.13,13.47,13.05,66.65M,2.86%
1/30/2018,12.87,13.12,13.27,12.69,91.24M,-3.38%
1/31/2018,13.74,13.24,13.85,13.15,140.98M,6.76%
2/1/2018,13.25,13.62,13.84,13.21,67.54M,-3.57%
2/2/2018,12.45,13.05,13.06,12.43,79.43M,-6.04%
2/5/2018,11.57,12.05,12.18,10.93,116.57M,-7.07%
2/6/2018,11.65,11.04,11.74,11,87.12M,0.69%
2/7/2018,11.6,11.7,11.9,11.53,55.76M,-0.43%
2/8/2018,11.22,11.72,11.85,11.21,56.47M,-3.28%
2/9/2018,11.31,11.54,11.57,10.63,85.46M,0.80%
2/12/2018,11.68,11.47,11.8,11.43,63.16M,3.27%
2/13/2018,11.78,11.6,11.82,11.53,33.66M,0.86%
2/14/2018,12.2,11.72,12.31,11.63,51.76M,3.57%
2/15/2018,12.19,12.4,12.63,12.07,59.59M,-0.08%
2/16/2018,11.82,12.11,12.23,11.82,47.33M,-3.04%
2/20/2018,12.02,11.72,12.19,11.71,47.10M,1.69%
2/21/2018,11.72,12.12,12.12,11.72,40.20M,-2.50%
2/22/2018,11.84,11.82,11.99,11.63,37.89M,1.02%
2/23/2018,12.07,11.95,12.16,11.94,33.32M,1.94%
2/26/2018,12.42,12.14,12.43,12.05,42.27M,2.90%
2/27/2018,12.53,12.43,12.88,12.39,55.98M,0.89%
2/28/2018,12.11,12.66,12.73,12.1,43.39M,-3.35%
3/1/2018,11.9,12.26,12.27,11.66,63.21M,-1.73%
3/2/2018,11.81,11.67,11.93,11.43,58.12M,-0.76%
3/5/2018,11.91,11.69,12.06,11.61,43.73M,0.85%
3/6/2018,11.76,12.01,12.05,11.71,46.75M,-1.26%
3/7/2018,12.24,11.58,12.82,11.55,127.60M,4.08%
3/8/2018,11.97,12.4,12.59,11.74,76.01M,-2.21%
3/9/2018,11.7,12.03,12.04,11.58,89.67M,-2.26%
3/12/2018,11.52,11.76,11.82,11.48,83.75M,-1.54%
3/13/2018,11.64,11.5,12.03,11.1,174.30M,1.04%
3/14/2018,11.36,11.7,11.72,11.26,80.54M,-2.41%
3/15/2018,11.46,11.43,11.55,11.19,66.37M,0.88%
3/16/2018,11.47,11.49,11.55,11.32,37.59M,0.09%
3/19/2018,11.43,11.41,11.74,11.35,53.31M,-0.35%
3/20/2018,11.11,11.41,11.52,11,65.12M,-2.80%
3/21/2018,11.26,11.16,11.34,11.11,44.69M,1.35%
3/22/2018,10.91,11.1,11.26,10.85,59.94M,-3.11%
3/23/2018,10.63,10.91,10.97,10.57,54.84M,-2.57%
3/26/2018,10.44,10.71,10.8,10.18,75.88M,-1.79%
3/27/2018,10,10.51,10.59,9.9,68.55M,-4.21%
3/28/2018,9.81,9.99,10.17,9.79,64.83M,-1.90%
3/29/2018,10.05,9.94,10.08,9.81,48.68M,2.45%
4/2/2018,9.53,9.99,10.14,9.51,64.82M,-5.17%
4/3/2018,9.55,9.63,9.77,9.3,54.89M,0.21%
4/4/2018,9.77,9.08,9.81,9.04,67.36M,2.30%
4/5/2018,10.02,10.05,10.2,9.91,65.76M,2.56%
4/6/2018,9.61,9.83,10.1,9.5,51.09M,-4.09%
4/9/2018,9.53,9.75,9.84,9.52,38.38M,-0.83%
4/10/2018,9.98,9.75,10.04,9.71,43.04M,4.72%
4/11/2018,9.82,9.87,10.03,9.79,29.17M,-1.60%
4/12/2018,10.08,9.98,10.1,9.82,47.78M,2.65%
4/13/2018,9.93,10.2,10.22,9.88,38.94M,-1.49%
4/16/2018,10.09,10,10.17,9.9,28.88M,1.61%
4/17/2018,10.52,10.28,10.53,10.2,45.36M,4.26%
4/18/2018,10.36,10.51,10.65,10.33,42.45M,-1.52%
4/19/2018,10.11,10.18,10.33,9.99,57.84M,-2.41%
4/20/2018,9.99,10.05,10.14,9.95,39.01M,-1.19%
4/23/2018,10.04,10.09,10.19,9.97,42.97M,0.50%
4/24/2018,10.09,10.19,10.35,9.95,44.99M,0.50%
4/25/2018,9.71,10.06,10.09,9.56,90.58M,-3.77%
4/26/2018,11.04,10.87,11.19,10.61,145.28M,13.70%
4/27/2018,11.11,11.2,11.36,11.02,74.35M,0.63%
4/30/2018,10.88,11.06,11.14,10.87,50.61M,-2.07%
5/1/2018,11.13,10.83,11.15,10.77,43.44M,2.30%
5/2/2018,10.97,11.1,11.15,10.97,29.27M,-1.44%
5/3/2018,10.93,10.9,11.06,10.83,33.31M,-0.36%
5/4/2018,11.28,10.88,11.29,10.87,47.88M,3.20%
5/7/2018,11.59,11.32,11.68,11.3,54.00M,2.75%
5/8/2018,11.61,11.49,11.66,11.4,35.22M,0.17%
5/9/2018,11.95,11.65,11.98,11.57,49.61M,2.93%
5/10/2018,12.13,11.98,12.18,11.95,49.74M,1.51%
5/11/2018,11.95,11.89,12.03,11.69,43.86M,-1.48%
5/14/2018,12.23,12.14,12.36,12.11,50.26M,2.34%
5/15/2018,12.45,12.18,12.46,12.16,44.18M,1.80%
5/16/2018,12.82,12.64,12.98,12.62,73.36M,2.97%
5/17/2018,12.82,12.79,12.9,12.66,38.69M,0.00%
5/18/2018,13,13.06,13.26,12.91,54.06M,1.40%
5/21/2018,12.99,13.25,13.31,12.88,49.71M,-0.08%
5/22/2018,12.98,13,13.14,12.71,43.27M,-0.08%
5/23/2018,13.1,12.93,13.18,12.9,44.52M,0.92%
5/24/2018,13.41,13.06,13.43,13.03,47.79M,2.37%
5/25/2018,13.54,13.4,13.72,13.36,43.85M,0.97%
5/29/2018,13.36,13.45,13.63,13.26,39.58M,-1.33%
5/30/2018,13.82,13.48,13.95,13.48,58.19M,3.44%
5/31/2018,13.73,13.74,13.93,13.69,46.80M,-0.65%
6/1/2018,14.4,13.98,14.4,13.92,71.68M,4.88%
6/4/2018,14.85,14.76,14.98,14.52,74.55M,3.13%
6/5/2018,14.85,14.85,14.92,14.63,56.12M,0.00%
6/6/2018,15.67,15.07,15.74,15.04,97.09M,5.52%
6/7/2018,14.89,15.83,15.97,14.85,99.86M,-4.98%
6/8/2018,15.25,14.52,15.33,14.31,81.93M,2.42%
6/11/2018,15.73,15.21,15.89,15.01,80.74M,3.15%
6/12/2018,15.85,15.84,15.95,15.43,67.00M,0.76%
6/13/2018,16.32,15.81,16.52,15.78,90.23M,2.97%
6/14/2018,16.25,16.62,16.79,15.58,113.05M,-0.43%
6/15/2018,16.34,16.06,16.52,15.82,77.61M,0.55%
6/18/2018,17.11,16.18,17.34,16.13,104.32M,4.71%
6/19/2018,16.69,16.85,17.29,16.31,92.54M,-2.45%
6/20/2018,16.52,16.83,17.13,16.37,76.28M,-1.02%
6/21/2018,15.65,16.65,16.87,15.46,95.64M,-5.27%
6/22/2018,15.8,15.78,15.91,15.56,59.26M,0.96%
6/25/2018,15.11,15.64,15.74,14.54,94.42M,-4.37%
6/26/2018,15.5,15.32,15.6,15.1,54.21M,2.58%
6/27/2018,14.97,15.65,15.76,14.96,56.01M,-3.42%
6/28/2018,15.31,14.85,15.36,14.75,48.72M,2.27%
6/29/2018,14.99,15.41,15.49,14.98,41.53M,-2.09%
7/2/2018,15.16,14.8,15.18,14.74,43.40M,1.13%
7/3/2018,15,15.21,15.34,14.96,32.09M,-1.06%
7/5/2018,15.5,15.13,15.5,15.02,40.70M,3.33%
7/6/2018,16.36,15.52,16.39,15.48,65.10M,5.55%
7/9/2018,16.61,16.73,16.84,16.17,58.53M,1.53%
7/10/2018,16.55,16.59,16.65,16.31,37.09M,-0.36%
7/11/2018,16.27,16.15,16.53,16.02,42.54M,-1.69%
7/12/2018,16.56,16.41,16.79,16.38,44.19M,1.78%
7/13/2018,16.27,16.68,16.69,16.22,40.70M,-1.75%
7/16/2018,16.58,16.42,17,16.41,65.28M,1.91%
7/17/2018,16.87,16.5,16.88,16.48,42.31M,1.75%
7/18/2018,16.85,16.94,16.99,16.55,40.88M,-0.12%
7/19/2018,16.71,16.71,16.88,16.55,41.27M,-0.83%
7/20/2018,16.5,16.66,16.88,16.44,42.91M,-1.26%
7/23/2018,16.66,16.47,16.68,15.9,44.94M,0.97%
7/24/2018,16.19,16.75,16.86,16.11,58.20M,-2.82%
7/25/2018,16.05,16.3,16.39,15.72,83.64M,-0.86%
7/26/2018,18.35,17.16,18.45,16.83,192.66M,14.33%
7/27/2018,18.94,19.07,19.88,18.31,161.90M,3.22%
7/30/2018,19.42,19.4,20.18,19.31,160.82M,2.53%
7/31/2018,18.33,19.35,19.5,18.27,118.40M,-5.61%
8/1/2018,18.48,18.34,18.95,18.32,75.50M,0.82%
8/2/2018,18.79,18.17,18.83,18,52.87M,1.68%
8/3/2018,18.49,18.94,19.06,18.37,53.23M,-1.60%
8/6/2018,19.43,18.89,19.44,18.46,83.58M,5.08%
8/7/2018,19.56,19.53,19.71,19.08,72.82M,0.67%
8/8/2018,19.58,19.46,19.77,19.25,52.08M,0.10%
8/9/2018,19.1,19.58,19.71,19.08,46.65M,-2.45%
8/10/2018,19.06,19.09,19.48,18.85,65.82M,-0.21%
8/13/2018,19.73,19.16,19.93,19.12,81.41M,3.52%
8/14/2018,20.02,19.97,20.28,19.63,89.20M,1.47%
8/15/2018,19.7,19.86,20.1,19.2,86.36M,-1.60%
8/16/2018,19.33,19.86,20.07,19.25,69.73M,-1.88%
8/17/2018,19.77,19.12,19.82,18.73,60.62M,2.28%
8/20/2018,19.98,19.79,20.08,19.35,62.98M,1.06%
8/21/2018,20.4,19.98,20.42,19.86,55.63M,2.10%
8/22/2018,20.9,20.28,20.92,20.21,62.00M,2.45%
8/23/2018,22.29,21.19,22.32,21.14,113.44M,6.65%
8/24/2018,23.98,22.91,24,22.67,164.33M,7.58%
8/27/2018,25.26,24.94,27.3,24.63,325.06M,5.34%
8/28/2018,25.05,25.51,26.18,24.04,215.77M,-0.83%
8/29/2018,25.2,24.36,25.41,24.01,143.22M,0.60%
